id,custom_label_0
shopify_mx_8272350707936_44876391842016,winner
shopify_mx_583602962484_47341693436128,improver
shopify_mx_8971535417568_47786141483232,zombie
shopify_mx_8540609708256_45735768391904,winner
shopify_mx_8096902611168_44170684006624,zombie
shopify_mx_6148260167855_37822550605999,improver
shopify_mx_8272351756512_44876396036320,winner
shopify_mx_8272360571104_47067380842720,zombie
shopify_mx_3803481669684_45751185637600,zombie
shopify_mx_6956242174127_43215696167136,zombie
shopify_mx_7928833638624_43654534299872,winner
shopify_mx_7739012514016_44020398719200,winner
shopify_mx_8540925755616_45737168175328,zombie
shopify_mx_7819824955616_44020404846816,zombie
shopify_mx_8857704759520_47181925056736,improver
shopify_mx_8146839896288_44310819504352,winner
shopify_mx_6930843143_28549153543,zombie
shopify_mx_8050611028192_44027700281568,zombie
shopify_mx_8050611028192_44027700216032,zombie
shopify_mx_6959706695_28649264250932,zombie
shopify_mx_8050611028192_45688847663328,improver
shopify_mx_6148260167855_37822551785647,zombie
shopify_mx_3709626187828_34516700397728,zombie
shopify_mx_9447745880288_50120713732320,zombie
shopify_mx_7819824627936_45702493339872,improver
shopify_mx_8050611192032_47181666582752,zombie
shopify_mx_7819830296800_43331328377056,zombie
shopify_mx_6974614110383_43222704914656,zombie
shopify_mx_6974614110383_43222698590432,zombie
shopify_mx_8272349888736_47792225419488,zombie
shopify_mx_8050611781856_45757785768160,zombie
shopify_mx_8050611814624_45757807034592,zombie
shopify_mx_6965786247343_40811908300975,zombie
shopify_mx_8064140148960_45751649927392,zombie
shopify_mx_6965786247343_40811909611695,zombie
shopify_mx_4422255018036_31509614067764,zombie
shopify_mx_4422255018036_45773079544032,zombie
shopify_mx_6956242174127_43222669787360,zombie
shopify_mx_3803481669684_46274384330976,winner
shopify_mx_7883739365600_43497451651296,zombie
shopify_mx_8554424893664_45773673365728,zombie
shopify_mx_9044344930528_48045503250656,zombie
shopify_mx_8769707475168_46741841477856,zombie
shopify_mx_8681555886304_46269996597472,zombie
shopify_mx_4169395109940_43250760122592,zombie
shopify_mx_8895157600480_47437303644384,zombie
shopify_mx_7819842519264_43331351838944,zombie
shopify_mx_6959706695_45751595860192,winner
shopify_mx_10159258055_28649367207988,zombie
shopify_mx_8527464169696_45702375014624,zombie
shopify_mx_7097054471_28649313632308,zombie
shopify_mx_8050611028192_44027700314336,zombie
shopify_mx_8554425811168_45773676478688,zombie
shopify_mx_7819830296800_46280956477664,zombie
shopify_mx_8050610372832_44027696021728,zombie
shopify_mx_4169395109940_43250760220896,zombie
shopify_mx_8691573293280_46315323719904,zombie
shopify_mx_8990058152160_47785911255264,zombie
shopify_mx_8557944176864_45782338863328,zombie
shopify_mx_8272351953120_44876396593376,zombie
shopify_mx_7919750840544_43624542503136,zombie
shopify_mx_4425967927348_31518044225588,zombie
shopify_mx_7097054471_28649313271860,zombie
shopify_mx_6148260167855_37822550638767,zombie
shopify_mx_6762914513071_47785574826208,zombie
shopify_mx_8050611192032_47785561030880,zombie
shopify_mx_6794663690415_44172380471520,zombie
shopify_mx_7919752970464_43624549449952,zombie
shopify_mx_9467052039_36658153259168,zombie
shopify_mx_6321127653551_38362709033135,zombie
shopify_mx_8050611814624_45757807001824,zombie
shopify_mx_9467052039_36658152112288,zombie
shopify_mx_6956242174127_43215803711712,zombie
shopify_mx_8864600424672_47229526081760,zombie
shopify_mx_8864600424672_47229526016224,zombie
shopify_mx_7819826888928_43331318677728,zombie
shopify_mx_6800174343_45745296933088,zombie
