Search keyword
All time
Account name,Customer ID,Search keyword,Search keyword status,Search keyword status reasons,Search keyword match type,Campaign,Ad group,Currency code,Keyword max CPC,Month,Clicks,Impr.,CTR,Avg. CPC,Avg. CPC (Converted currency),Cost,Cost (Converted currency),Impr. (Abs. Top) %,Impr. (Top) %,Conversions,View-through conv.,Cost / conv.,Cost / conv. (Converted currency),Conv. rate,Avg. CPM (Converted currency),Revenue,Converted currency code
Risk Top Tactical,716-310-8729,tactical 5.11,Removed,removed,Broad match,Search,5.11,MXN,0,June 2024,134,290,46.21%,3.35, --,449.25, --,81.78%,97.77%,0.75,0,597.85, --,0.56%, --,1370.63,MXN
Risk Top Tactical,716-310-8729,511 tactical series,Removed,removed,Broad match,Search,5.11,MXN,0,July 2021,134,962,13.93%,1.27, --,170.09, --,28.69%,75.99%,0.00,0,0, --,0.00%, --,0.00,MXN
Risk Top Tactical,716-310-8729,511 cdmx,Removed,removed,Broad match,Ubicaciones,CDMX,MXN,0,January 2025,134,687,19.51%,1.41, --,188.84, --,31.77%,62.15%,2.00,0,94.42, --,1.49%, --,0.00,MXN
Risk Top Tactical,716-310-8729,5.11 puebla,Removed,removed,Broad match,Ubicaciones,Puebla,MXN,0,December 2024,134,928,14.44%,2.27, --,303.66, --,43.84%,74.22%,3.00,0,101.22, --,2.24%, --,1385.50,MXN
Risk Top Tactical,716-310-8729,tienda 511,Eligible,,Broad match,Search,5.11,MXN,40.00,April 2026,133,"1,285",10.35%,4.80, --,637.84, --,42.27%,83.56%,0.00,0,0, --,0.00%, --,0.00,MXN
Risk Top Tactical,716-310-8729,tienda 5.11 cdmx,Removed,removed,Broad match,Ubicaciones,CDMX,MXN,0,April 2025,133,"1,187",11.20%,1.76, --,233.66, --,31.41%,59.48%,0.00,0,0, --,0.00%, --,0.00,MXN
Risk Top Tactical,716-310-8729,511 cdmx,Removed,removed,Broad match,Ubicaciones,CDMX,MXN,0,October 2025,133,"1,438",9.25%,1.48, --,196.45, --,43.97%,82.76%,36.00,0,5.46, --,27.07%, --,0.00,MXN
Risk Top Tactical,716-310-8729,5.11 monterrey,Removed,removed,Broad match,Ubicaciones,Monterrey,MXN,0,October 2022,133,317,41.96%,1.24, --,164.36, --,86.45%,96.26%,1.00,0,164.36, --,0.75%, --,1231.00,MXN
Risk Top Tactical,716-310-8729,5.11 mexico,Eligible,,Broad match,Search,5.11,MXN,40.00,April 2022,132,481,27.44%,2.31, --,304.57, --,39.91%,90.24%,1.00,0,304.57, --,0.76%, --,0.00,MXN
Risk Top Tactical,716-310-8729,tienda 5.11,Eligible,,Broad match,Search,5.11,MXN,40.00,August 2025,132,421,31.35%,3.19, --,421.33, --,57.52%,93.22%,0.02,0,20588.91, --,0.02%, --,0.00,MXN
Risk Top Tactical,716-310-8729,tienda 5.11 en linea,Not eligible,ad group removed,Broad match,Ubicaciones,5.11,MXN,15.00,February 2023,132,628,21.02%,2.72, --,358.54, --,56.97%,93.12%,2.00,0,179.27, --,1.52%, --,3720.00,MXN
Risk Top Tactical,716-310-8729,5.11 monterrey,Removed,removed,Broad match,Ubicaciones,Monterrey,MXN,0,November 2022,132,302,43.71%,1.73, --,228.93, --,79.53%,92.52%,4.00,0,57.23, --,3.03%, --,3779.50,MXN
Risk Top Tactical,716-310-8729,risk 5.11,Eligible,,Broad match,Search,Risk,MXN,15.00,November 2025,132,547,24.13%,3.14, --,414.22, --,72.24%,96.20%,71.02,0,5.83, --,53.81%, --,4501.33,MXN
Risk Top Tactical,716-310-8729,tactical 5.11,Removed,removed,Broad match,Search,5.11,MXN,0,April 2025,131,742,17.65%,4.16, --,545.18, --,39.37%,75.36%,0.99,0,551.60, --,0.75%, --,5307.46,MXN
Risk Top Tactical,716-310-8729,5.11 monterrey,Eligible,,Phrase match,Ubicaciones,Monterrey,MXN,40.00,March 2026,131,528,24.81%,2.04, --,267.60, --,60.55%,82.11%,21.00,0,12.74, --,16.03%, --,0.00,MXN
Risk Top Tactical,716-310-8729,5.11 tactical series,Removed,removed,Exact match,Search,5.11,MXN,0,December 2020,130,474,27.43%,2.51, --,325.79, --,72.97%,97.30%,0.00,0,0, --,0.00%, --,0.00,MXN
Risk Top Tactical,716-310-8729,511 tactical,Eligible,,Broad match,Search,5.11,MXN,40.00,February 2026,129,437,29.52%,5.45, --,703.50, --,70.50%,89.57%,1.00,0,703.50, --,0.78%, --,2400.01,MXN
Risk Top Tactical,716-310-8729,tactical 5.11,Removed,removed,Broad match,Search,5.11,MXN,0,October 2022,129,671,19.23%,1.06, --,137.19, --,76.03%,98.42%,1.00,0,137.19, --,0.78%, --,1521.50,MXN
Risk Top Tactical,716-310-8729,tactical 5.11,Removed,removed,Broad match,Search,5.11,MXN,0,August 2024,129,300,43.00%,3.47, --,448.10, --,77.78%,96.53%,1.50,0,298.73, --,1.16%, --,748.50,MXN
Risk Top Tactical,716-310-8729,pantalon 5.11,Removed,removed,Broad match,Search,5.11,MXN,0,July 2025,129,918,14.05%,2.12, --,273.13, --,63.57%,91.80%,1.50,0,182.09, --,1.16%, --,6250.00,MXN
Risk Top Tactical,716-310-8729,tienda 511,Not eligible,ad group removed,Broad match,Ubicaciones,5.11,MXN,15.00,May 2023,129,873,14.78%,1.45, --,187.32, --,56.49%,79.47%,0.00,0,0, --,0.00%, --,0.00,MXN
Risk Top Tactical,716-310-8729,tienda 5.11 mexico,Removed,removed,Exact match,Ubicaciones,CDMX,MXN,0,October 2020,129,285,45.26%,3.41, --,440.32, --,84.81%,94.07%,0.00,0,0, --,0.00%, --,0.00,MXN
Risk Top Tactical,716-310-8729,5.11 tactical cdmx,Removed,removed,Broad match,Ubicaciones,CDMX,MXN,0,January 2025,129,604,21.36%,0.51, --,65.65, --,44.95%,69.72%,1.00,0,65.65, --,0.78%, --,0.00,MXN
Risk Top Tactical,716-310-8729,5.11 monterrey,Removed,removed,Broad match,Ubicaciones,Monterrey,MXN,0,August 2022,129,365,35.34%,2.83, --,364.46, --,83.45%,93.58%,2.00,0,182.23, --,1.55%, --,0.00,MXN
Risk Top Tactical,716-310-8729,tactical 5.11,Removed,removed,Broad match,Search,5.11,MXN,0,September 2021,128,994,12.88%,2.10, --,269.41, --,31.27%,68.16%,0.00,0,0, --,0.00%, --,0.00,MXN
Risk Top Tactical,716-310-8729,tactical 5.11,Removed,removed,Broad match,Search,5.11,MXN,0,November 2022,128,785,16.31%,1.28, --,163.44, --,68.15%,94.48%,1.00,0,163.44, --,0.78%, --,1600.80,MXN
Risk Top Tactical,716-310-8729,511 store,Removed,removed,Broad match,Search,5.11,MXN,0,July 2025,128,"1,376",9.30%,2.98, --,381.85, --,37.58%,76.17%,1.50,0,254.57, --,1.17%, --,1525.00,MXN
Risk Top Tactical,716-310-8729,tienda 511,Eligible,,Broad match,Search,5.11,MXN,40.00,February 2026,128,"1,265",10.12%,3.13, --,400.65, --,31.13%,81.75%,2.00,0,200.33, --,1.56%, --,0.00,MXN
Risk Top Tactical,716-310-8729,5.11 monterrey,Removed,removed,Broad match,Ubicaciones,Monterrey,MXN,0,December 2025,128,463,27.65%,4.64, --,593.74, --,62.32%,94.49%,52.39,0,11.33, --,40.93%, --,4775.20,MXN
Risk Top Tactical,716-310-8729,risk 5.11,Eligible,,Broad match,Search,Risk,MXN,15.00,August 2024,128,288,44.44%,2.15, --,274.63, --,78.91%,92.19%,4.00,0,68.66, --,3.13%, --,0.00,MXN
Risk Top Tactical,716-310-8729,511,Eligible,,Broad match,Search,5.11,MXN,40.00,September 2021,127,683,18.59%,0.79, --,100.83, --,51.82%,76.43%,6.00,0,16.81, --,4.72%, --,0.00,MXN
Risk Top Tactical,716-310-8729,tactical 5.11,Removed,removed,Broad match,Search,5.11,MXN,0,June 2022,127,634,20.03%,1.54, --,195.78, --,61.41%,82.37%,3.00,0,65.26, --,2.36%, --,3700.00,MXN
Risk Top Tactical,716-310-8729,tienda de ropa tactica,Not eligible,ad group removed,Broad match,Ubicaciones,5.11,MXN,15.00,July 2022,127,"1,105",11.49%,2.24, --,284.63, --,38.93%,54.19%,10.00,0,28.46, --,7.87%, --,0.00,MXN
Risk Top Tactical,716-310-8729,5.11 tactical mexico,Removed,removed,Broad match,Ubicaciones,CDMX,MXN,0,September 2025,127,"1,096",11.59%,3.66, --,465.41, --,48.29%,80.48%,2.28,0,203.88, --,1.80%, --,1718.40,MXN
Risk Top Tactical,716-310-8729,risk top tactical,Eligible,,Broad match,Search,Risk,MXN,15.00,April 2026,127,323,39.32%,2.71, --,343.55, --,97.66%,98.83%,1.00,0,343.55, --,0.79%, --,0.00,MXN
Risk Top Tactical,716-310-8729,511,Eligible,,Broad match,Search,5.11,MXN,40.00,May 2022,126,701,17.97%,1.66, --,208.92, --,52.79%,89.91%,3.00,0,69.64, --,2.38%, --,0.00,MXN
Risk Top Tactical,716-310-8729,5.11 tactical mexico,Removed,removed,Exact match,Search,5.11,MXN,0,November 2020,126,386,32.64%,4.21, --,530.63, --,53.49%,95.43%,2.00,0,265.32, --,1.59%, --,6474.71,MXN
Risk Top Tactical,716-310-8729,5.11 tuxtla,Removed,removed,Broad match,Ubicaciones,Tuxtla,MXN,0,August 2022,126,255,49.41%,1.33, --,167.78, --,93.51%,98.70%,8.00,0,20.97, --,6.35%, --,0.00,MXN
Risk Top Tactical,716-310-8729,5.11 monterrey,Removed,removed,Broad match,Ubicaciones,Monterrey,MXN,0,January 2022,126,393,32.06%,1.50, --,188.88, --,55.26%,76.88%,0.00,0,0, --,0.00%, --,0.00,MXN
Risk Top Tactical,716-310-8729,tienda 511,Not eligible,ad group removed,Broad match,Ubicaciones,5.11,MXN,15.00,October 2021,125,698,17.91%,3.03, --,379.36, --,53.15%,82.45%,2.00,0,189.68, --,1.60%, --,0.00,MXN
Risk Top Tactical,716-310-8729,ropa 5.11 tactical en mexico,Removed,removed,Broad match,Ubicaciones,CDMX,MXN,0,September 2021,125,779,16.05%,3.56, --,444.56, --,38.15%,63.25%,2.00,0,222.28, --,1.60%, --,0.00,MXN
Risk Top Tactical,716-310-8729,5.11 tactical mexico,Removed,removed,Broad match,Ubicaciones,CDMX,MXN,0,February 2025,125,"1,535",8.14%,3.05, --,381.77, --,24.79%,36.60%,4.00,0,95.44, --,3.20%, --,1670.01,MXN
Risk Top Tactical,716-310-8729,5.11 monterrey,Removed,removed,Broad match,Ubicaciones,Monterrey,MXN,0,February 2025,125,476,26.26%,1.48, --,184.57, --,44.14%,60.35%,3.00,0,61.52, --,2.40%, --,0.00,MXN
Risk Top Tactical,716-310-8729,risk 5.11,Eligible,,Broad match,Search,Risk,MXN,15.00,September 2024,125,285,43.86%,3.49, --,435.99, --,73.73%,90.98%,0.82,0,530.97, --,0.66%, --,1714.24,MXN
Risk Top Tactical,716-310-8729,5.11 mexico,Eligible,,Broad match,Search,5.11,MXN,40.00,January 2026,124,261,47.51%,5.97, --,739.84, --,88.89%,97.35%,1.30,0,570.76, --,1.05%, --,616.73,MXN
Risk Top Tactical,716-310-8729,tienda de ropa tactica,Not eligible,ad group removed,Broad match,Ubicaciones,5.11,MXN,15.00,October 2021,124,684,18.13%,2.56, --,317.02, --,40.09%,54.47%,3.00,0,105.67, --,2.42%, --,0.00,MXN
Risk Top Tactical,716-310-8729,tienda 5.11 en linea,Not eligible,ad group removed,Broad match,Ubicaciones,5.11,MXN,15.00,May 2022,124,697,17.79%,2.25, --,279.60, --,52.29%,85.78%,0.00,0,0, --,0.00%, --,0.00,MXN
Risk Top Tactical,716-310-8729,511 cdmx,Removed,removed,Broad match,Ubicaciones,CDMX,MXN,0,August 2022,124,528,23.48%,1.90, --,235.04, --,56.88%,87.47%,0.00,0,0, --,0.00%, --,0.00,MXN
Risk Top Tactical,716-310-8729,tienda 5.11 monterrey,Removed,removed,Broad match,Ubicaciones,Monterrey,MXN,0,October 2022,124,358,34.64%,1.87, --,231.68, --,78.23%,90.54%,5.00,0,46.34, --,4.03%, --,0.00,MXN
Risk Top Tactical,716-310-8729,csi tactical,Eligible,,Broad match,Search,CSI Tactical,MXN,40.00,April 2026,124,534,23.22%,6.58, --,816.00, --,72.18%,93.48%,1.00,0,816.00, --,0.81%, --,4979.97,MXN
Risk Top Tactical,716-310-8729,tactical 5.11,Removed,removed,Broad match,Search,5.11,MXN,0,March 2023,123,351,35.04%,1.68, --,206.52, --,76.74%,98.19%,1.00,0,206.52, --,0.81%, --,0.00,MXN
Risk Top Tactical,716-310-8729,tienda tactica 5.11,Not eligible,ad group removed,Broad match,Ubicaciones,5.11,MXN,15.00,January 2022,123,583,21.10%,1.73, --,212.81, --,40.54%,77.25%,0.00,0,0, --,0.00%, --,0.00,MXN
Risk Top Tactical,716-310-8729,5.11 villahermosa,Removed,removed,Broad match,Ubicaciones,Villahermosa,MXN,0,June 2022,123,329,37.39%,1.08, --,132.23, --,91.83%,96.41%,9.00,0,14.69, --,7.32%, --,0.00,MXN
Risk Top Tactical,716-310-8729,csi tactical,Eligible,,Broad match,Search,CSI Tactical,MXN,40.00,March 2026,123,612,20.10%,8.46, --,1040.24, --,49.46%,92.62%,1.00,0,1040.24, --,0.81%, --,1599.00,MXN
Risk Top Tactical,716-310-8729,511 store,Removed,removed,Broad match,Search,5.11,MXN,0,June 2025,122,"1,027",11.88%,4.44, --,541.23, --,42.32%,77.53%,0.00,0,0, --,0.00%, --,0.00,MXN
Risk Top Tactical,716-310-8729,tienda 5.11,Removed,removed; ad group removed,Exact match,Ubicaciones,5.11,MXN,0,April 2021,122,423,28.84%,1.96, --,239.21, --,31.88%,90.10%,0.00,0,0, --,0.00%, --,0.00,MXN
Risk Top Tactical,716-310-8729,tienda 5.11 cdmx,Removed,removed,Broad match,Ubicaciones,CDMX,MXN,0,July 2024,122,434,28.11%,2.52, --,307.15, --,56.67%,84.67%,1.33,0,230.36, --,1.09%, --,1220.40,MXN
Risk Top Tactical,716-310-8729,5.11 merida,Eligible,,Phrase match,Ubicaciones,Merida,MXN,40.00,January 2026,121,603,20.07%,2.08, --,251.92, --,62.56%,87.69%,20.00,0,12.60, --,16.53%, --,0.00,MXN
Risk Top Tactical,716-310-8729,tienda tactica 5.11,Not eligible,ad group removed,Broad match,Ubicaciones,5.11,MXN,15.00,August 2022,120,736,16.30%,2.29, --,274.67, --,50.08%,79.85%,0.00,0,0, --,0.00%, --,0.00,MXN
Risk Top Tactical,716-310-8729,tienda 5.11,Not eligible,ad group removed,Broad match,Ubicaciones,5.11,MXN,15.00,December 2021,120,667,17.99%,1.36, --,163.39, --,23.16%,76.63%,0.00,0,0, --,0.00%, --,0.00,MXN
Risk Top Tactical,716-310-8729,tienda 5.11 en linea,Not eligible,ad group removed,Broad match,Ubicaciones,5.11,MXN,15.00,April 2022,120,701,17.12%,2.40, --,288.54, --,55.45%,89.89%,1.00,0,288.54, --,0.83%, --,0.00,MXN
Risk Top Tactical,716-310-8729,tienda 5.11 cdmx,Removed,removed,Broad match,Ubicaciones,CDMX,MXN,0,August 2022,120,505,23.76%,1.35, --,162.09, --,53.38%,87.76%,0.00,0,0, --,0.00%, --,0.00,MXN
Risk Top Tactical,716-310-8729,tactical 5.11,Removed,removed,Broad match,Search,5.11,MXN,0,February 2025,119,400,29.75%,3.00, --,356.58, --,43.30%,68.04%,2.00,0,178.29, --,1.68%, --,4599.01,MXN
Risk Top Tactical,716-310-8729,5.11 tactical series,Removed,removed,Exact match,Search,5.11,MXN,0,November 2020,119,409,29.10%,2.78, --,330.38, --,69.21%,96.05%,1.00,0,330.38, --,0.84%, --,0.00,MXN
Risk Top Tactical,716-310-8729,tienda 5.11,Removed,removed; ad group removed,Exact match,Ubicaciones,5.11,MXN,0,September 2020,119,416,28.61%,2.41, --,286.37, --,41.50%,93.69%,0.00,0,0, --,0.00%, --,0.00,MXN
Risk Top Tactical,716-310-8729,5.11 monterrey,Removed,removed,Broad match,Ubicaciones,Monterrey,MXN,0,December 2021,119,514,23.15%,2.16, --,257.03, --,45.39%,77.43%,2.00,0,128.52, --,1.68%, --,0.00,MXN
Risk Top Tactical,716-310-8729,accesorios tacticos militares,Removed,removed,Broad match,Search,5.11,MXN,0,October 2022,118,"1,463",8.07%,1.03, --,121.40, --,30.99%,52.54%,5.00,0,24.28, --,4.24%, --,0.00,MXN
Risk Top Tactical,716-310-8729,tienda 5.11,Removed,removed; ad group removed,Exact match,Ubicaciones,5.11,MXN,0,January 2021,118,541,21.81%,2.98, --,351.94, --,43.50%,96.89%,0.00,0,0, --,0.00%, --,0.00,MXN
Risk Top Tactical,716-310-8729,5.11 monterrey,Removed,removed,Broad match,Ubicaciones,Monterrey,MXN,0,February 2023,118,240,49.17%,1.97, --,232.30, --,81.87%,93.78%,4.00,0,58.08, --,3.39%, --,0.00,MXN
Risk Top Tactical,716-310-8729,risk top tactical,Eligible,,Broad match,Search,Risk,MXN,15.00,July 2025,118,334,35.33%,3.10, --,366.00, --,97.02%,98.81%,2.83,0,129.19, --,2.40%, --,3206.98,MXN
Risk Top Tactical,716-310-8729,botas 5.11,Removed,removed,Broad match,Search,5.11,MXN,0,October 2025,117,"1,086",10.77%,1.75, --,204.87, --,45.40%,79.48%,11.00,0,18.62, --,9.40%, --,0.00,MXN
Risk Top Tactical,716-310-8729,5.11 tactical mexico,Removed,removed,Exact match,Search,5.11,MXN,0,October 2020,117,273,42.86%,2.36, --,276.05, --,69.00%,98.15%,1.00,0,276.05, --,0.85%, --,0.00,MXN
Risk Top Tactical,716-310-8729,tiendas tacticas,Not eligible,ad group removed,Broad match,Ubicaciones,5.11,MXN,15.00,August 2023,117,838,13.96%,1.01, --,118.60, --,25.40%,44.05%,5.00,0,23.72, --,4.27%, --,0.00,MXN
Risk Top Tactical,716-310-8729,5.11 merida,Removed,removed,Broad match,Ubicaciones,Merida,MXN,0,August 2021,117,493,23.73%,2.23, --,260.85, --,50.90%,80.04%,4.00,0,65.21, --,3.42%, --,4127.74,MXN
Risk Top Tactical,716-310-8729,tienda 5.11 cdmx,Removed,removed,Broad match,Ubicaciones,CDMX,MXN,0,September 2025,116,731,15.87%,2.77, --,321.65, --,52.89%,87.88%,0.04,0,7526.37, --,0.04%, --,0.00,MXN
Risk Top Tactical,716-310-8729,511 cdmx,Removed,removed,Broad match,Ubicaciones,CDMX,MXN,0,December 2024,116,547,21.21%,1.53, --,177.74, --,41.80%,73.95%,2.00,0,88.87, --,1.72%, --,0.00,MXN
Risk Top Tactical,716-310-8729,5.11 monterrey,Removed,removed,Broad match,Ubicaciones,Monterrey,MXN,0,July 2024,116,282,41.13%,2.04, --,236.69, --,73.27%,89.40%,1.00,0,236.69, --,0.86%, --,0.00,MXN
Risk Top Tactical,716-310-8729,chamarra 5.11,Eligible,,Broad match,Search,Chamarra 5.11,MXN,40.00,March 2026,116,626,18.53%,2.27, --,263.39, --,69.72%,95.95%,0.00,0,0, --,0.00%, --,0.00,MXN
Risk Top Tactical,716-310-8729,tactical 5.11,Removed,removed,Broad match,Search,5.11,MXN,0,September 2022,115,897,12.82%,1.44, --,166.13, --,68.48%,90.28%,1.00,0,166.13, --,0.87%, --,0.00,MXN
Risk Top Tactical,716-310-8729,5.11 villahermosa,Removed,removed,Broad match,Ubicaciones,Villahermosa,MXN,0,May 2022,115,275,41.82%,0.84, --,96.23, --,91.30%,95.65%,5.00,0,19.25, --,4.35%, --,8031.79,MXN
Risk Top Tactical,716-310-8729,5.11 monterrey,Removed,removed,Broad match,Ubicaciones,Monterrey,MXN,0,September 2021,115,430,26.74%,2.48, --,284.70, --,45.50%,82.01%,3.00,0,94.90, --,2.61%, --,0.00,MXN
Risk Top Tactical,716-310-8729,risk top tactical,Eligible,,Broad match,Search,Risk,MXN,15.00,October 2025,115,198,58.08%,3.26, --,375.21, --,90.91%,95.72%,28.22,0,13.29, --,24.54%, --,0.00,MXN
Risk Top Tactical,716-310-8729,tactical 5.11,Removed,removed,Broad match,Search,5.11,MXN,0,February 2024,114,266,42.86%,2.36, --,268.65, --,89.56%,95.58%,0.00,0,0, --,0.00%, --,0.00,MXN
Risk Top Tactical,716-310-8729,5.11 stryke,Removed,removed,Broad match,Search,5.11,MXN,0,July 2023,114,525,21.71%,1.72, --,196.19, --,62.31%,92.37%,0.00,0,0, --,0.00%, --,0.00,MXN
Risk Top Tactical,716-310-8729,511 tactical mexico,Not eligible,ad group removed,Broad match,Ubicaciones,5.11,MXN,15.00,June 2022,114,848,13.44%,2.03, --,231.71, --,59.17%,80.46%,7.00,0,33.10, --,6.14%, --,2199.00,MXN
Risk Top Tactical,716-310-8729,tienda 5.11 monterrey,Removed,removed,Broad match,Ubicaciones,Monterrey,MXN,0,March 2023,114,330,34.55%,1.63, --,186.03, --,68.23%,87.73%,3.00,0,62.01, --,2.63%, --,1380.00,MXN
Risk Top Tactical,716-310-8729,5.11 monterrey,Removed,removed,Broad match,Ubicaciones,Monterrey,MXN,0,December 2022,114,270,42.22%,1.88, --,214.66, --,89.90%,100.00%,9.00,0,23.85, --,7.89%, --,0.00,MXN
Risk Top Tactical,716-310-8729,tienda 5.11 puebla,Removed,removed,Broad match,Ubicaciones,Puebla,MXN,0,September 2024,114,254,44.88%,1.22, --,138.85, --,69.23%,85.52%,0.00,0,0, --,0.00%, --,0.00,MXN
Risk Top Tactical,716-310-8729,risk 5.11,Eligible,,Broad match,Search,Risk,MXN,15.00,April 2025,114,427,26.70%,4.22, --,481.65, --,55.08%,75.00%,7.10,0,67.79, --,6.23%, --,5051.65,MXN
Risk Top Tactical,716-310-8729,511 tactical,Eligible,,Broad match,Search,5.11,MXN,40.00,August 2025,113,352,32.10%,4.56, --,515.58, --,64.58%,93.40%,5.09,0,101.33, --,4.50%, --,0.00,MXN
Risk Top Tactical,716-310-8729,511 store,Removed,removed,Broad match,Search,5.11,MXN,0,August 2024,113,727,15.54%,1.66, --,187.33, --,49.57%,68.45%,2.00,0,93.67, --,1.77%, --,1619.61,MXN
Risk Top Tactical,716-310-8729,5.11 puebla,Removed,removed,Broad match,Ubicaciones,Puebla,MXN,0,October 2022,113,226,50.00%,1.36, --,153.92, --,92.35%,97.45%,4.00,0,38.48, --,3.54%, --,0.00,MXN
Risk Top Tactical,716-310-8729,tactical 5.11,Removed,removed,Broad match,Search,5.11,MXN,0,July 2024,112,274,40.88%,4.67, --,523.24, --,70.12%,97.61%,0.00,0,0, --,0.00%, --,0.00,MXN
Risk Top Tactical,716-310-8729,5.11 mexico,Eligible,,Broad match,Search,5.11,MXN,40.00,October 2024,112,204,54.90%,5.91, --,661.40, --,77.16%,94.92%,0.50,0,1322.80, --,0.45%, --,856.95,MXN
Risk Top Tactical,716-310-8729,5.11 queretaro,Removed,removed,Broad match,Ubicaciones,Queretaro,MXN,0,November 2021,112,351,31.91%,1.71, --,191.40, --,78.86%,86.99%,6.00,0,31.90, --,5.36%, --,0.00,MXN
Risk Top Tactical,716-310-8729,risk tactical,Eligible,,Broad match,Search,Risk,MXN,15.00,September 2025,112,286,39.16%,4.96, --,555.10, --,81.13%,93.40%,19.32,0,28.73, --,17.25%, --,0.00,MXN
Risk Top Tactical,716-310-8729,catalogo 5.11,Removed,removed,Broad match,Search,5.11,MXN,0,July 2021,111,596,18.62%,1.42, --,157.41, --,26.08%,71.22%,1.00,0,157.41, --,0.90%, --,720.00,MXN
Risk Top Tactical,716-310-8729,5.11 mexico,Eligible,,Broad match,Search,5.11,MXN,40.00,March 2025,111,442,25.11%,4.59, --,509.97, --,36.72%,40.88%,1.00,0,509.97, --,0.90%, --,1912.50,MXN
Risk Top Tactical,716-310-8729,5.11 queretaro,Removed,removed,Broad match,Ubicaciones,Queretaro,MXN,0,July 2025,111,783,14.18%,3.16, --,350.84, --,52.26%,86.13%,0.02,0,15126.38, --,0.02%, --,27.83,MXN
Risk Top Tactical,716-310-8729,tactical 5.11,Removed,removed,Broad match,Search,5.11,MXN,0,February 2023,110,300,36.67%,2.14, --,234.90, --,73.14%,98.94%,0.00,0,0, --,0.00%, --,0.00,MXN
Risk Top Tactical,716-310-8729,5.11 tactical mexico,Removed,removed,Exact match,Search,5.11,MXN,0,December 2020,110,264,41.67%,3.31, --,363.82, --,61.20%,92.40%,1.00,0,363.82, --,0.91%, --,3150.00,MXN
Risk Top Tactical,716-310-8729,tactical 5.11,Removed,removed,Broad match,Search,5.11,MXN,0,May 2023,109,573,19.02%,1.64, --,178.44, --,60.11%,94.26%,3.00,0,59.48, --,2.75%, --,2195.21,MXN
Risk Top Tactical,716-310-8729,tactical 5.11,Removed,removed,Broad match,Search,5.11,MXN,0,April 2024,109,249,43.78%,1.81, --,197.77, --,71.37%,97.10%,1.00,0,197.77, --,0.92%, --,5390.00,MXN
Risk Top Tactical,716-310-8729,tienda 5.11 cdmx,Removed,removed,Broad match,Ubicaciones,CDMX,MXN,0,June 2022,109,367,29.70%,1.03, --,112.13, --,68.99%,89.11%,1.00,0,112.13, --,0.92%, --,5500.00,MXN
Risk Top Tactical,716-310-8729,5.11 tuxtla,Removed,removed,Broad match,Ubicaciones,Tuxtla,MXN,0,September 2021,109,489,22.29%,2.50, --,272.33, --,49.01%,79.34%,11.00,0,24.76, --,10.09%, --,492.74,MXN
Risk Top Tactical,716-310-8729,risk 5.11,Eligible,,Broad match,Search,Risk,MXN,15.00,July 2024,109,268,40.67%,2.34, --,254.62, --,83.41%,92.63%,2.00,0,127.31, --,1.83%, --,4726.78,MXN
Risk Top Tactical,716-310-8729,risk top tactical,Eligible,,Broad match,Search,Risk,MXN,15.00,February 2026,109,228,47.81%,1.88, --,204.94, --,92.81%,97.01%,3.13,0,65.55, --,2.87%, --,9223.52,MXN
Risk Top Tactical,716-310-8729,tactical 5.11,Removed,removed,Broad match,Search,5.11,MXN,0,October 2023,108,454,23.79%,2.27, --,245.29, --,72.64%,94.97%,3.00,0,81.76, --,2.78%, --,6648.99,MXN
Risk Top Tactical,716-310-8729,accesorios tacticos militares,Removed,removed,Broad match,Search,5.11,MXN,0,January 2024,108,"1,868",5.78%,1.63, --,175.71, --,6.87%,18.68%,1.00,0,175.71, --,0.93%, --,0.00,MXN
Risk Top Tactical,716-310-8729,tienda 5.11 monterrey,Eligible,,Phrase match,Ubicaciones,Monterrey,MXN,40.00,February 2026,108,409,26.41%,2.62, --,282.62, --,70.34%,89.35%,14.65,0,19.30, --,13.56%, --,1259.45,MXN
Risk Top Tactical,716-310-8729,risk top tactical,Eligible,,Broad match,Search,Risk,MXN,15.00,December 2025,108,217,49.77%,4.62, --,498.62, --,92.12%,97.54%,31.80,0,15.68, --,29.45%, --,4925.21,MXN
Risk Top Tactical,716-310-8729,risk top tactical,Eligible,,Broad match,Search,Risk,MXN,15.00,January 2026,108,225,48.00%,1.03, --,111.64, --,88.52%,94.74%,2.66,0,41.98, --,2.46%, --,3897.23,MXN
Risk Top Tactical,716-310-8729,american tactical mexico,Removed,removed,Broad match,Search,Risk,MXN,0,September 2024,108,687,15.72%,2.85, --,307.87, --,30.66%,46.93%,0.00,0,0, --,0.00%, --,0.00,MXN
Risk Top Tactical,716-310-8729,511,Eligible,,Broad match,Search,5.11,MXN,40.00,April 2026,107,470,22.77%,5.50, --,588.37, --,83.82%,93.36%,1.00,0,588.37, --,0.93%, --,850.00,MXN
Risk Top Tactical,716-310-8729,511 tactical,Eligible,,Broad match,Search,5.11,MXN,40.00,April 2022,107,453,23.62%,2.50, --,267.82, --,50.63%,98.49%,0.00,0,0, --,0.00%, --,0.00,MXN
Risk Top Tactical,716-310-8729,5.11 tactical series,Removed,removed,Exact match,Search,5.11,MXN,0,October 2020,107,376,28.46%,2.45, --,261.91, --,69.04%,95.62%,0.00,0,0, --,0.00%, --,0.00,MXN
