Search keyword
All time
Account name,Customer ID,Search keyword,Search keyword status,Search keyword status reasons,Search keyword match type,Campaign,Ad group,Currency code,Keyword max CPC,Month,Clicks,Impr.,CTR,Avg. CPC,Avg. CPC (Converted currency),Cost,Cost (Converted currency),Impr. (Abs. Top) %,Impr. (Top) %,Conversions,View-through conv.,Cost / conv.,Cost / conv. (Converted currency),Conv. rate,Avg. CPM (Converted currency),Revenue,Converted currency code
Risk Top Tactical,716-310-8729,5.11 mexico,Eligible,,Broad match,Search,5.11,MXN,40.00,August 2023,573,"1,384",41.40%,4.33, --,2481.89, --,62.28%,97.40%,9.00,0,275.77, --,1.57%, --,19080.51,MXN
Risk Top Tactical,716-310-8729,5.11 puebla,Eligible,,Phrase match,Ubicaciones,Puebla,MXN,40.00,February 2026,572,"3,886",14.72%,2.84, --,1621.66, --,61.27%,90.43%,35.56,0,45.60, --,6.22%, --,1593.12,MXN
Risk Top Tactical,716-310-8729,tienda 5.11,Not eligible,ad group removed,Broad match,Ubicaciones,5.11,MXN,15.00,October 2022,568,"2,566",22.14%,1.26, --,716.03, --,61.93%,88.22%,8.00,0,89.50, --,1.41%, --,0.00,MXN
Risk Top Tactical,716-310-8729,tienda 5.11,Not eligible,ad group removed,Broad match,Ubicaciones,5.11,MXN,15.00,March 2022,559,"2,495",22.40%,1.92, --,1071.17, --,49.60%,89.88%,14.00,0,76.51, --,2.50%, --,0.00,MXN
Risk Top Tactical,716-310-8729,tienda 5.11,Eligible,,Broad match,Search,5.11,MXN,40.00,December 2024,557,"1,478",37.69%,2.28, --,1272.23, --,60.45%,85.79%,5.00,0,254.45, --,0.90%, --,1630.00,MXN
Risk Top Tactical,716-310-8729,5.11 mexico,Eligible,,Broad match,Search,5.11,MXN,40.00,February 2024,556,946,58.77%,2.16, --,1198.48, --,91.26%,97.87%,4.00,0,299.62, --,0.72%, --,11196.00,MXN
Risk Top Tactical,716-310-8729,5.11 mexico,Removed,removed,Exact match,Search,5.11,MXN,0,February 2021,550,"1,529",35.97%,2.92, --,1607.37, --,47.85%,94.84%,3.00,0,535.79, --,0.55%, --,10017.00,MXN
Risk Top Tactical,716-310-8729,tienda 511,Not eligible,ad group removed,Broad match,Ubicaciones,5.11,MXN,15.00,July 2022,545,"3,580",15.22%,1.93, --,1053.52, --,54.69%,85.44%,6.00,0,175.59, --,1.10%, --,0.00,MXN
Risk Top Tactical,716-310-8729,5.11 mexico,Removed,removed,Exact match,Search,5.11,MXN,0,December 2020,543,"1,415",38.37%,3.69, --,2002.92, --,68.80%,97.27%,3.00,0,667.64, --,0.55%, --,10829.74,MXN
Risk Top Tactical,716-310-8729,tienda 5.11,Eligible,,Broad match,Search,5.11,MXN,40.00,November 2024,542,"1,438",37.69%,1.92, --,1039.14, --,60.85%,91.17%,9.00,0,115.46, --,1.66%, --,0.00,MXN
Risk Top Tactical,716-310-8729,tienda 5.11,Eligible,,Broad match,Search,5.11,MXN,40.00,October 2024,539,"1,200",44.92%,2.36, --,1274.30, --,71.60%,94.43%,0.77,0,1658.70, --,0.14%, --,1423.79,MXN
Risk Top Tactical,716-310-8729,5.11 mexico,Eligible,,Broad match,Search,5.11,MXN,40.00,July 2023,538,"1,321",40.73%,2.67, --,1438.88, --,59.69%,98.01%,7.00,0,205.55, --,1.30%, --,9505.97,MXN
Risk Top Tactical,716-310-8729,5.11 mexico,Removed,removed,Exact match,Search,5.11,MXN,0,January 2021,537,"1,525",35.21%,3.03, --,1624.50, --,55.92%,96.08%,6.00,0,270.75, --,1.12%, --,18776.78,MXN
Risk Top Tactical,716-310-8729,5.11 tactical mexico,Removed,removed,Broad match,Ubicaciones,CDMX,MXN,0,October 2025,531,"3,097",17.15%,3.64, --,1934.67, --,53.59%,83.82%,101.49,0,19.06, --,19.11%, --,5542.67,MXN
Risk Top Tactical,716-310-8729,5.11 tactical cdmx,Eligible,,Phrase match,Ubicaciones,CDMX,MXN,40.00,February 2026,531,"3,330",15.95%,3.20, --,1698.88, --,56.73%,87.44%,53.01,0,32.05, --,9.98%, --,37.34,MXN
Risk Top Tactical,716-310-8729,511,Eligible,,Broad match,Search,5.11,MXN,40.00,December 2024,529,"1,811",29.21%,3.18, --,1682.01, --,64.33%,81.60%,4.33,0,388.16, --,0.82%, --,3422.50,MXN
Risk Top Tactical,716-310-8729,5.11 mexico,Eligible,,Broad match,Search,5.11,MXN,40.00,April 2024,528,"1,011",52.23%,2.88, --,1518.87, --,73.51%,99.21%,3.00,0,506.29, --,0.57%, --,0.00,MXN
Risk Top Tactical,716-310-8729,accesorios tacticos militares,Removed,removed,Broad match,Search,5.11,MXN,0,February 2025,519,"3,304",15.71%,0.55, --,287.44, --,17.54%,63.70%,11.00,0,26.13, --,2.12%, --,1790.00,MXN
Risk Top Tactical,716-310-8729,511,Eligible,,Broad match,Search,5.11,MXN,40.00,November 2024,517,"1,576",32.80%,3.08, --,1593.47, --,69.94%,87.70%,7.00,0,227.64, --,1.35%, --,5693.50,MXN
Risk Top Tactical,716-310-8729,5.11,Eligible,,Broad match,Search,5.11,MXN,40.00,October 2025,517,"2,727",18.96%,4.59, --,2375.50, --,62.13%,89.00%,75.17,0,31.60, --,14.54%, --,6413.08,MXN
Risk Top Tactical,716-310-8729,511,Eligible,,Broad match,Search,5.11,MXN,40.00,January 2025,507,"1,523",33.29%,3.66, --,1855.11, --,69.99%,81.66%,8.00,0,231.89, --,1.58%, --,11589.10,MXN
Risk Top Tactical,716-310-8729,5.11 mexico,Removed,removed,Exact match,Search,5.11,MXN,0,March 2021,505,"1,332",37.91%,2.98, --,1504.06, --,54.46%,94.41%,1.00,0,1504.06, --,0.20%, --,4350.00,MXN
