"ID","Metafield: mm-google-shopping.custom_label_0 [single_line_text_field]"
"8864615039200","zombie"
"6956125323439","zombie"
"8840865153248","zombie"
"8826428096736","zombie"
"7819830034656","zombie"
"8905311650016","zombie"
"9448975728864","zombie"
"7754500899040","zombie"
"9196331040992","zombie"
"8825122652384","zombie"
"8096902676704","zombie"
"8769660879072","zombie"
"8554414440672","zombie"
"9449074819296","zombie"
"8050610077920","zombie"
"8050609946848","zombie"
"7819739037920","zombie"
"6584678547631","zombie"
"8905324101856","zombie"
"8096902807776","zombie"
"8261915017440","zombie"
"7819827675360","zombie"
"10669413639","zombie"
"4428632031284","zombie"
"7819824890080","zombie"
"9327735603424","zombie"
"9200216342752","zombie"
"9447702233312","zombie"
"8096902447328","zombie"
"8096901529824","zombie"
"8835995107552","zombie"
"9200564044000","zombie"
"8050611126496","zombie"
"8878566768864","zombie"
"8835145695456","zombie"
"9200240099552","zombie"
"8989935403232","zombie"
"8990127096032","zombie"
"7919751528672","zombie"
"10202072071","zombie"
"7928833179872","zombie"
"7928833343712","zombie"
"7928833081568","zombie"
"8905331015904","zombie"
"8272355852512","zombie"
"9093917475040","zombie"
"8857108709600","zombie"
"9059156492512","zombie"
"8989889429728","zombie"
"8857235095776","zombie"
"8657945657568","zombie"
"7819826430176","zombie"
"1119775621172","zombie"
"8683859509472","zombie"
"8683930681568","zombie"
"8738608152800","zombie"
"6956047532207","zombie"
"4428704120884","zombie"
"9447575716064","zombie"
"8840864268512","zombie"
"8769722155232","zombie"
"8951277420768","zombie"
"8857248923872","zombie"
"9063079313632","zombie"
"8971540332768","zombie"
"9042319474912","zombie"
"7819740446944","zombie"
"8858105708768","zombie"
"8523328422112","zombie"
"9447735591136","zombie"
"8793645187296","zombie"
"8014193164512","zombie"
"8823283646688","zombie"
"8685061767392","zombie"
"8543371428064","zombie"
"8050611093728","zombie"
"8683912331488","zombie"
"9065863872736","zombie"
"8991192875232","zombie"
"8272360931552","zombie"
"9044301119712","zombie"
"9448986476768","zombie"
"8972014780640","zombie"
"9199882961120","zombie"
"8050610143456","zombie"
"8868891721952","zombie"
"8824791826656","zombie"
"9449078685920","zombie"
"7819828658400","zombie"
"8596976468192","zombie"
"8050611159264","zombie"
"8991175508192","zombie"
"7928833573088","zombie"
"7819829084384","zombie"
"8873909256416","zombie"
"8951274438880","zombie"
"9200115613920","zombie"
"8856317591776","zombie"
"8823473340640","zombie"
"6956098191535","zombie"
"8905304768736","zombie"
"8272349364448","zombie"
"8950542696672","zombie"
"9065243115744","zombie"
"8769780678880","zombie"
"589085769780","zombie"
"7819839504608","zombie"
"8225754611936","zombie"
"7928833900768","zombie"
"8951271555296","zombie"
"8540912156896","zombie"
"9449016099040","zombie"
"7819825545440","zombie"
"3713215823924","zombie"
"9199873261792","zombie"
"9200556015840","zombie"
"7819828953312","zombie"
"8823375134944","zombie"
"7819836457184","zombie"
"8097527234784","zombie"
