Campaign performance
All time
Campaign,Campaign state,Campaign type,Month,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Impr. (Abs. Top) %,Impr. (Top) %,Conversions,View-through conv.,Cost / conv.,Conv. rate,Search lost IS (budget),Revenue
Search,Enabled,Search,November 2025,"1,168","7,143",16.35%,MXN,4.23,4940.09,59.17%,91.74%,417.47,0,11.83,35.74%,> 90%,32857.68
Ubicaciones,Enabled,Search,June 2025,"1,158","9,105",12.72%,MXN,2.65,3063.44,58.49%,88.73%,38.63,0,79.29,3.34%,9.55%,25292.20
Ubicaciones,Enabled,Search,August 2023,"1,115","5,255",21.22%,MXN,2.10,2341.39,55.47%,79.28%,21.00,0,111.49,1.88%,0.00%,2703.00
Ubicaciones,Enabled,Search,July 2024,"1,108","3,744",29.59%,MXN,2.10,2327.15,64.45%,84.12%,16.33,0,142.48,1.47%,6.86%,2748.90
Ubicaciones,Enabled,Search,September 2023,"1,045","4,315",24.22%,MXN,1.73,1812.53,61.67%,80.31%,26.00,0,69.71,2.49%,0.19%,13498.29
Ubicaciones,Enabled,Search,November 2023,"1,024","4,713",21.73%,MXN,2.64,2706.21,58.15%,87.16%,14.00,0,193.30,1.37%,1.98%,19202.72
Ubicaciones,Enabled,Search,June 2024,"1,024","3,039",33.70%,MXN,1.76,1804.08,72.53%,86.76%,6.26,0,288.16,0.61%,15.09%,10214.29
Ubicaciones,Enabled,Search,December 2021,"1,020","5,752",17.73%,MXN,1.58,1614.45,31.34%,68.55%,36.00,0,44.85,3.53%,5.62%,3938.00
PMAX Improvers,Enabled,Performance Max,April 2026,"1,008","40,272",2.50%,MXN,1.58,1594.14,0,0,2.79,29,570.79,0.10%,0.46%,5106.75
Ubicaciones,Enabled,Search,May 2024,981,"2,864",34.25%,MXN,1.67,1633.38,67.31%,82.89%,3.78,0,431.90,0.39%,11.59%,7338.76
PMAX Champions,Enabled,Performance Max,June 2022,958,"80,218",1.19%,MXN,1.40,1336.93,0,0,1.00,0,1336.93,0.10%, --,0.00
Ubicaciones,Enabled,Search,December 2023,942,"3,334",28.25%,MXN,1.66,1567.00,70.09%,88.57%,11.00,1,142.45,1.17%,2.28%,4508.00
Ubicaciones,Enabled,Search,February 2024,941,"4,461",21.09%,MXN,2.01,1891.69,66.16%,78.92%,4.00,0,472.92,0.43%,1.22%,3580.00
Ubicaciones,Enabled,Search,November 2020,884,"11,716",7.55%,MXN,1.98,1751.20,66.23%,95.61%,4.00,0,434.54,0.46%,3.77%,6521.66
Ubicaciones,Enabled,Search,September 2025,859,"5,303",16.20%,MXN,2.62,2247.11,56.48%,85.37%,19.18,0,117.13,2.23%,53.13%,3216.40
Search,Enabled,Search,December 2021,858,"5,512",15.57%,MXN,1.40,1198.67,25.65%,83.28%,16.00,0,74.92,1.86%,3.57%,1708.83
Ubicaciones,Enabled,Search,April 2024,843,"4,819",17.49%,MXN,1.63,1377.41,49.51%,83.30%,1.00,0,1377.41,0.12%,3.04%,4480.00
Ubicaciones,Enabled,Search,December 2020,840,"10,413",8.07%,MXN,1.88,1579.76,65.38%,95.41%,2.00,1,787.40,0.24%,5.85%,4498.00
Ubicaciones,Enabled,Search,July 2021,833,"6,432",12.95%,MXN,1.76,1467.31,29.54%,68.76%,3.00,0,489.10,0.36%,10.36%,7743.81
Ubicaciones,Enabled,Search,April 2026,829,"7,485",11.08%,MXN,1.90,1570.98,63.85%,85.50%,214.00,0,7.34,25.81%,9.54%,1500.00
Ubicaciones,Enabled,Search,October 2023,828,"3,531",23.45%,MXN,2.12,1752.30,55.83%,85.91%,22.00,0,79.65,2.66%,1.12%,4595.64
Miguel Caballero,Paused,Search,January 2023,828,"35,673",2.32%,MXN,2.60,2155.85,16.77%,54.49%,2.00,150,1077.92,0.24%,0.28%,0.00
Miguel Caballero Demand Gen,Enabled,Demand Gen,March 2026,821,"427,037",0.19%,MXN,9.10,7473.24,0,0,0.00,28,0,0.00%, --,0.00
Ubicaciones,Enabled,Search,January 2024,806,"3,077",26.19%,MXN,1.64,1320.45,60.70%,87.06%,15.00,0,88.03,1.86%,1.41%,8237.30
"Shopping - Bleeders, zombies, dead",Enabled,Shopping,April 2026,731,"50,592",1.44%,MXN,2.23,1632.53,0,0,9.07,0,180.06,1.24%,> 90%,26771.20
Ubicaciones,Enabled,Search,January 2021,656,"16,772",3.91%,MXN,1.90,1246.80,51.45%,94.69%,1.00,31,1246.32,0.15%,2.55%,1100.00
Ubicaciones,Enabled,Search,June 2021,607,"4,315",14.07%,MXN,1.82,1102.54,26.05%,62.36%,1.00,0,1102.54,0.16%,15.48%,3490.00
Ubicaciones,Enabled,Search,August 2025,591,"3,360",17.59%,MXN,2.44,1443.35,56.42%,85.98%,32.85,0,43.93,5.56%,49.24%,8642.91
Ubicaciones,Enabled,Search,February 2021,550,"1,658",33.17%,MXN,2.25,1235.59,50.29%,94.65%,1.00,0,1235.59,0.18%,3.34%,260.00
Miguel Caballero,Paused,Search,August 2025,537,"17,109",3.14%,MXN,3.33,1785.89,52.49%,77.02%,0.00,1,0,0.00%,2.67%,0.00
Ubicaciones,Enabled,Search,March 2021,501,"1,376",36.41%,MXN,2.22,1112.70,53.11%,92.42%,1.00,0,1112.70,0.20%,3.87%,321.36
Search,Enabled,Search,January 2022,481,"3,811",12.62%,MXN,0.88,423.24,18.80%,74.20%,2.00,0,211.62,0.42%,9.21%,8900.00
Ubicaciones,Enabled,Search,April 2021,461,"1,288",35.79%,MXN,1.85,852.40,39.40%,88.34%,1.00,0,852.40,0.22%,14.28%,3459.00
Ubicaciones,Enabled,Search,September 2020,376,943,39.87%,MXN,1.65,622.14,67.59%,95.19%,1.00,0,621.61,0.27%,5.76%,0.00
Miguel Caballero,Paused,Search,February 2023,372,"20,260",1.84%,MXN,2.52,935.76,15.40%,55.80%,0.00,0,0,0.00%,7.93%,0.00
Search,Enabled,Search,February 2022,353,"2,349",15.03%,MXN,0.96,337.23,19.93%,75.47%,5.00,0,67.45,1.42%,10.91%,0.00
Ubicaciones,Enabled,Search,May 2021,331,"1,106",29.93%,MXN,2.24,740.97,39.32%,89.27%,0.00,0,0,0.00%,23.02%,0.00
Ubicaciones,Enabled,Search,July 2023,324,"1,707",18.98%,MXN,2.19,708.31,42.53%,83.20%,10.00,0,70.83,3.09%,0.00%,7868.00
Ubicaciones,Enabled,Search,October 2020,322,832,38.70%,MXN,2.96,953.66,84.25%,96.18%,1.00,0,953.66,0.31%,9.31%,9538.33
Video Ads,Paused,Demand Gen,June 2025,300,"18,892",1.59%,MXN,1.67,500.06,0,0,0.06,2,8202.68,0.00%, --,0.00
Miguel Caballero,Paused,Search,December 2022,235,"8,003",2.94%,MXN,4.63,1088.79,16.96%,57.79%,0.00,0,0,0.00%,1.62%,0.00
"Shopping - Bleeders, zombies, dead",Enabled,Shopping,December 2025,202,"14,221",1.42%,MXN,2.97,599.84,0,0,1.05,0,570.13,0.52%,86.60%,2161.62
Search,Enabled,Search,March 2022,198,"1,234",16.05%,MXN,0.47,93.34,15.71%,74.52%,19.00,0,4.91,9.60%,15.63%,0.00
