Title,Item ID,Clicks,Impr.,Orders,Currency code,Revenue,Cost,Product type (1st level),ROAS,CTR
PARCHE TACTICO - 5.11 SCOPE,shopify_mx_8554424893664_45773673365728,28,2450,1.98,MXN,418.42,60.77,parche,689%,1.14%
SUDADERA 5.11 - FRAME HOODIE Ranger Green / L,shopify_mx_9044344930528_48045503250656,12,620,0.28,MXN,417.34,91.07,chamarra,458%,1.94%
CHAMARRA TACTICA 5.11 - DUTY RAIN SHELL Dark Navy / M,shopify_mx_8769707475168_46741841477856,17,1142,0.1,MXN,408.9,55.17,chamarra,741%,1.49%
CHAMARRA RISK Dark Navy / L,shopify_mx_8681555886304_46269996597472,12,4289,0.09,MXN,396.16,49.37,chamarra,802%,0.28%
CHAMARRA TACTICA 5.11 - VALIANT DUTY Sheriff Green / X-Large,shopify_mx_4169395109940_43250760122592,147,5598,0.12,MXN,337.73,306.9,chamarra,110%,2.63%
Botas tácticas 5.11 A/T 6 6MX,shopify_mx_8895157600480_47437303644384,278,15403,0.13,MXN,336.97,283.3,botas,119%,1.80%
CINTURON TACTICO 5.11 - 1.5IN LOW PRO TDU Kangaroo / Large,shopify_mx_7819842519264_43331351838944,2,193,0.25,MXN,335,3.09,cinturón,10841%,1.04%
CINTURON TACTICO 5.11- TRAVERSE DOUBLE BUCKLE Kangaroo / Medium,shopify_mx_6959706695_45751595860192,32,1977,0.25,MXN,335,43.51,cinturón,770%,1.62%
BALACLAVA 5.11 Black / L-XL,shopify_mx_10159258055_28649367207988,125,6066,0.19,MXN,319.35,382.94,accesorio,83%,2.06%
CHAMARRA DEPORTIVA 5.11 - PT-R ARRIVE 1/4 ZIP FLEECE Shadow Green / XL,shopify_mx_8527464169696_45702375014624,1,183,0.19,MXN,284.79,3.41,chamarra,8352%,0.55%
CAMISA TACTICA 5.11 - TACLITE PRO MANGA LARGA Dark Navy / Large,shopify_mx_7097054471_28649313632308,200,8702,0.05,MXN,259.02,467.85,camisa hombre,55%,2.30%
PANTALON TACTICO 5.11 - SPIRE PARA MUJER Dark Navy / 8,shopify_mx_8050611028192_44027700314336,7,209,0.1,MXN,235.83,21.33,pantalones dama,1106%,3.35%
PARCHE TACTICO 5.11 - SCOPE,shopify_mx_8554425811168_45773676478688,17,2442,1.02,MXN,225.58,75.91,parche,297%,0.70%
